run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-162332-505 opt=global condiciones_iniciales=[{'id': 1, 'inicio': (31.57, 5.1), 'giro_inicial': 111.5, 'meta': (18.98, 2.76), 'angulo_llegada': 197.1, 'largo': 0.75, 'ancho': 0.41, 'v_max': 2.16, 'v_inicial': 0.0, 'a_max': 0.96, 'giro_max': 34.9, 'grupo': 2, 'prioridad': 3}, {'id': 2, 'inicio': (25.82, 5.28), 'giro_inicial': 72.6, 'meta': (17.65, 11.82), 'angulo_llegada': 159.7, 'largo': 0.8, 'ancho': 0.44, 'v_max': 2.58, 'v_inicial': 0.0, 'a_max': 0.77, 'giro_max': 30.6, 'grupo': 1, 'prioridad': 1}, {'id': 3, 'inicio': (20.99, 18.14), 'giro_inicial': 150.2, 'meta': (10.81, 8.05), 'angulo_llegada': 113.2, 'largo': 0.72, 'ancho': 0.38, 'v_max': 1.94, 'v_inicial': 0.0, 'a_max': 0.83, 'giro_max': 39.6, 'grupo': 1, 'prioridad': 2}]
20260718-162332-505,1,99,17.292005,2.375636,17.984065,2.877287,1.008000,3.268533,-0.960000,0.000000
20260718-162332-505,1,100,17.192016,2.362875,17.884076,2.864526,0.912000,3.268533,-0.960000,0.000000
20260718-162332-505,1,101,17.101550,2.351329,17.793610,2.852980,0.816000,3.268533,-0.960000,0.000000
20260718-162332-505,1,102,17.020607,2.340999,17.712666,2.842649,0.720000,3.268533,-0.960000,0.000000
20260718-162332-505,1,103,16.949186,2.331883,17.641246,2.833534,0.624000,3.268533,-0.960000,0.000000
20260718-162332-505,1,104,16.887288,2.323984,17.579348,2.825634,0.528000,3.268533,-0.960000,0.000000
20260718-162332-505,1,105,16.834913,2.317299,17.526973,2.818950,0.432000,3.268533,-0.960000,0.000000
20260718-162332-505,1,106,16.792061,2.311830,17.484120,2.813481,0.336000,3.268533,-0.960000,0.000000
20260718-162332-505,1,107,16.758731,2.307576,17.450791,2.809227,0.240000,3.268533,-0.960000,0.000000
20260718-162332-505,1,108,16.734924,2.304538,17.426984,2.806189,0.144000,3.268533,-0.960000,0.000000
20260718-162332-505,1,109,16.720640,2.302715,17.412700,2.804366,0.048000,3.268533,-0.480000,0.000000
20260718-162332-505,1,110,16.715879,2.302107,17.407938,2.803758,-0.000000,3.268533,-0.960000,0.000000
20260718-162332-505,1,111,16.715879,2.302107,17.407938,2.803758,-0.096000,3.268533,-0.960000,3.141593
20260718-162332-505,1,112,16.725401,2.303323,17.417461,2.804973,-0.192000,3.268533,-0.960000,3.141593
20260718-162332-505,1,113,16.744447,2.305753,17.436507,2.807404,-0.288000,3.268533,-0.960000,3.141593
20260718-162332-505,1,114,16.773015,2.309399,17.465075,2.811050,-0.384000,3.268533,-0.960000,3.141593
20260718-162332-505,1,115,16.811106,2.314261,17.503166,2.815911,-0.480000,3.268533,-0.960000,3.141593
20260718-162332-505,1,116,16.858720,2.320338,17.550780,2.821988,-0.576000,3.268533,-0.960000,3.141593
