run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-163124-574 opt=secuencial condiciones_iniciales=[{'id': 1, 'inicio': (15.423, 18.128), 'giro_inicial': 283.306, 'meta': (26.082, 19.415), 'angulo_llegada': 260.292, 'largo': 0.91, 'ancho': 0.52, 'v_max': 2.96, 'v_inicial': 0.0, 'a_max': 0.85, 'giro_max': 28.5, 'grupo': 1, 'prioridad': 1}, {'id': 2, 'inicio': (26.07, 12.75), 'giro_inicial': 307.8, 'meta': (23.9, 3.3), 'angulo_llegada': 34.8, 'largo': 0.77, 'ancho': 0.47, 'v_max': 2.0, 'v_inicial': 0.0, 'a_max': 0.92, 'giro_max': 39.4, 'grupo': 2, 'prioridad': 2}, {'id': 3, 'inicio': (33.81, 18.08), 'giro_inicial': 332.2, 'meta': (10.33, 7.33), 'angulo_llegada': 215.0, 'largo': 0.92, 'ancho': 0.54, 'v_max': 2.46, 'v_inicial': 0.0, 'a_max': 0.99, 'giro_max': 29.3, 'grupo': 2, 'prioridad': 1}, {'id': 4, 'inicio': (17.1, 2.99), 'giro_inicial': 19.9, 'meta': (17.79, 8.52), 'angulo_llegada': 259.1, 'largo': 1.04, 'ancho': 0.54, 'v_max': 2.76, 'v_inicial': 0.0, 'a_max': 0.76, 'giro_max': 37.5, 'grupo': 2, 'prioridad': 3}, {'id': 5, 'inicio': (17.02, 13.53), 'giro_inicial': 354.2, 'meta': (30.3, 19.4), 'angulo_llegada': 236.7, 'largo': 0.98, 'ancho': 0.56, 'v_max': 2.49, 'v_inicial': 0.0, 'a_max': 0.61, 'giro_max': 32.4, 'grupo': 2, 'prioridad': 2}, {'id': 6, 'inicio': (27.8, 18.75), 'giro_inicial': 291.5, 'meta': (17.25, 12.21), 'angulo_llegada': 228.2, 'largo': 1.0, 'ancho': 0.52, 'v_max': 2.53, 'v_inicial': 0.0, 'a_max': 0.86, 'giro_max': 34.4, 'grupo': 1, 'prioridad': 1}]
20260718-163124-574,1,91,27.649046,18.693748,26.601178,18.715493,-0.764567,5.743291,-0.848592,-2.924903
20260718-163124-574,1,92,27.584124,18.717647,26.537580,18.774611,-0.849427,5.709662,-0.848364,-2.928454
20260718-163124-574,1,93,27.513068,18.747161,26.469321,18.842520,-0.934263,5.672931,-0.848135,-2.932004
20260718-163124-574,1,94,27.436328,18.783065,26.397189,18.919780,-1.019077,5.633224,-0.847909,-2.935554
20260718-163124-574,1,95,27.354446,18.826147,26.322064,19.006947,-1.103867,5.590669,-0.847689,-2.939104
20260718-163124-574,1,96,27.268060,18.877204,26.244920,19.104548,-1.188636,5.545389,-0.847477,-2.942655
20260718-163124-574,1,97,27.177911,18.937019,26.166825,19.213071,-1.273384,5.497510,0.847477,-2.946207
20260718-163124-574,1,98,27.084845,19.006352,26.088935,19.332944,-1.188636,5.447157,0.847689,-2.942655
20260718-163124-574,1,99,27.000997,19.074720,26.021859,19.448603,-1.103867,5.399278,0.847909,-2.939104
20260718-163124-574,1,100,26.925901,19.141277,25.964690,19.559097,-1.019077,5.353998,0.848135,-2.935554
20260718-163124-574,1,101,26.859064,19.205259,25.916499,19.663593,-0.934263,5.311442,0.848364,-2.932004
20260718-163124-574,1,102,26.799982,19.265982,25.876353,19.761371,-0.849427,5.271736,0.848592,-2.928454
20260718-163124-574,1,103,26.748147,19.322844,25.843333,19.851817,-0.764567,5.235005,0.848817,-2.924903
20260718-163124-574,1,104,26.703063,19.375317,25.816547,19.934413,-0.679686,5.201375,0.849034,-2.921353
20260718-163124-574,1,105,26.664259,19.422947,25.795147,20.008732,-0.594782,5.170973,0.849240,-2.917801
20260718-163124-574,1,106,26.631292,19.465347,25.778340,20.074423,-0.509858,5.143925,0.849430,-2.914248
20260718-163124-574,1,107,26.603763,19.502196,25.765401,20.131202,-0.424915,5.120359,0.849601,-2.910694
